"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 29, 2019","20,430","20,172","20,587","19,933","1.24M","0.66"
"Nov 28, 2019","20,297","21,550","21,550","20,040","1.52M","-2.33"
"Nov 27, 2019","20,782","20,855","21,692","20,658","791.86K","-0.60"
"Nov 26, 2019","20,907","21,499","21,559","20,907","2.08M","-2.54"
"Nov 25, 2019","21,452","21,680","21,978","21,416","1.30M","-1.00"
"Nov 22, 2019","21,669","21,500","22,320","20,703","1.10M","-6.56"
"Nov 21, 2019","23,191","22,900","23,500","22,900","513.30K","-0.59"
"Nov 20, 2019","23,328","23,101","23,404","22,888","260.01K","-1.06"
"Nov 19, 2019","23,579","23,500","23,800","23,364","413.97K","0.34"
"Nov 18, 2019","23,500","23,597","23,600","23,269","728.81K","0.21"
"Nov 15, 2019","23,450","23,600","23,866","23,341","495.65K","-0.38"
"Nov 14, 2019","23,539","23,599","23,623","23,321","617.39K","0.05"
"Nov 13, 2019","23,528","23,400","23,900","23,105","487.00K","0.25"
"Nov 12, 2019","23,470","24,000","24,000","23,066","951.05K","1.92"
"Nov 11, 2019","23,027","23,302","23,408","22,791","536.51K","-1.80"
"Nov 08, 2019","23,450","21,854","23,701","21,854","1.23M","6.23"
"Nov 07, 2019","22,075","22,250","22,400","21,931","515.43K","0.34"
"Nov 06, 2019","22,000","22,112","22,236","21,543","726.52K","0.17"
"Nov 05, 2019","21,962","21,820","22,216","21,764","410.98K","0.74"
"Nov 04, 2019","21,800","21,700","21,820","21,145","968.29K","2.35"
"Nov 01, 2019","21,300","21,699","21,699","21,043","747.45K","-0.75"
"Oct 31, 2019","21,461","21,200","21,820","21,198","895.25K","1.43"
"Oct 30, 2019","21,158","21,581","21,905","21,022","826.07K","-2.94"
"Oct 29, 2019","21,800","21,800","21,922","21,391","525.62K","0.21"
"Oct 28, 2019","21,755","21,227","21,847","21,026","705.17K","3.35"
"Oct 25, 2019","21,049","21,632","21,632","21,022","466.19K","-2.20"
"Oct 24, 2019","21,522","21,500","21,887","21,483","1.19M","0.10"
"Oct 23, 2019","21,500","21,648","21,648","21,195","581.03K","-0.14"
"Oct 22, 2019","21,530","21,188","21,702","21,026","447.24K","1.35"
"Oct 21, 2019","21,243","21,088","21,341","20,982","315.37K","0.60"
"Oct 18, 2019","21,117","21,236","21,418","20,971","1.28M","-1.11"
"Oct 17, 2019","21,354","21,369","21,985","21,251","814.12K","0.05"
"Oct 16, 2019","21,343","21,230","21,343","20,882","632.04K","0.85"
"Oct 15, 2019","21,164","20,800","21,600","20,800","610.07K","1.95"
"Oct 14, 2019","20,760","20,800","20,999","20,518","2.15M","-0.19"
"Oct 11, 2019","20,800","21,044","21,049","20,768","485.74K","-0.31"
"Oct 10, 2019","20,864","20,874","21,091","20,581","746.19K","0.97"
"Oct 09, 2019","20,664","20,776","20,881","20,349","785.99K","-0.33"
"Oct 08, 2019","20,732","20,500","20,818","20,486","553.79K","0.99"
"Oct 07, 2019","20,529","20,205","20,743","20,060","1.81M","1.60"
"Oct 04, 2019","20,205","20,450","20,659","19,893","1.83M","-0.99"
"Oct 03, 2019","20,407","20,827","21,132","20,238","884.98K","-2.12"
"Oct 02, 2019","20,850","20,911","21,035","20,620","1.11M","-0.02"
"Oct 01, 2019","20,855","21,193","21,250","20,659","1.15M","-0.95"
"","","","","","",""
"","Highest:24,000","Lowest:19,893","Difference:4,107","Average:21,668","Change %:-3"
